"PROKKA","GENE","ko","A","B","C","D","D_shorthand"
"PROKKA_03971___146048_1","nrdD_3","K21636","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","ribonucleoside-triphosphate reductase (formate)","nrdD"
"PROKKA_03971___146048_1","nrdD_3","K21636","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","ribonucleoside-triphosphate reductase (formate)","nrdD"
"PROKKA_03971___360161_1","group_1952","K00748","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","lipid-A-disaccharide synthase","lpxB"
"PROKKA_03972___146050_1","citB","K01681","Metabolism"," Energy metabolism","  00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]","aconitate hydratase","ACO, acnA"
"PROKKA_03972___146050_1","citB","K01681","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","aconitate hydratase","ACO, acnA"
"PROKKA_03972___146050_1","citB","K01681","Metabolism"," Carbohydrate metabolism","  00020 Citrate cycle (TCA cycle) [PATH:ko00020]","aconitate hydratase","ACO, acnA"
"PROKKA_03972___146050_1","citB","K01681","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","aconitate hydratase","ACO, acnA"
"PROKKA_03972___146050_1","citB","K01681","Metabolism"," Carbohydrate metabolism","  00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","aconitate hydratase","ACO, acnA"
"PROKKA_03972___146050_1","citB","K01681","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","aconitate hydratase","ACO, acnA"
"PROKKA_03973___360165_1","group_3319","K03269","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","UDP-2,3-diacylglucosamine hydrolase","lpxH"
"PROKKA_03974___360167_1","cheV_2","K03415","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","two-component system, chemotaxis family, response regulator CheV","cheV"
"PROKKA_03974___360167_1","cheV_2","K03415","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","two-component system, chemotaxis family, response regulator CheV","cheV"
"PROKKA_03975___360169_1","group_11071","K03407","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","two-component system, chemotaxis family, sensor kinase CheA","cheA"
"PROKKA_03975___360169_1","group_11071","K03407","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","two-component system, chemotaxis family, sensor kinase CheA","cheA"
"PROKKA_03976___360171_1","cheW_2","K03408","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","purine-binding chemotaxis protein CheW","cheW"
"PROKKA_03976___360171_1","cheW_2","K03408","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","purine-binding chemotaxis protein CheW","cheW"
"PROKKA_03977___360173_1","group_3222","K01079","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoserine phosphatase","serB, PSPH"
"PROKKA_03977___360173_1","group_3222","K01079","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoserine phosphatase","serB, PSPH"
"PROKKA_03977___360173_1","group_3222","K01079","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","phosphoserine phosphatase","serB, PSPH"
"PROKKA_03977___360173_1","group_3222","K01079","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","phosphoserine phosphatase","serB, PSPH"
"PROKKA_03981___146068_1","fhuB","K02015","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system permease protein","ABC.FEV.P"
"PROKKA_03982___146070_1","group_22486","K01873","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","valyl-tRNA synthetase","VARS, valS"
"PROKKA_03985___360189_1","group_26885","K00526","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","ribonucleoside-diphosphate reductase beta chain","E1.17.4.1B, nrdB, nrdF"
"PROKKA_03985___360189_1","group_26885","K00526","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","ribonucleoside-diphosphate reductase beta chain","E1.17.4.1B, nrdB, nrdF"
"PROKKA_03989___146084_1","argH_3","K01755","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","argininosuccinate lyase","argH, ASL"
"PROKKA_03989___146084_1","argH_3","K01755","Metabolism"," Amino acid metabolism","  00220 Arginine biosynthesis [PATH:ko00220]","argininosuccinate lyase","argH, ASL"
"PROKKA_03989___146084_1","argH_3","K01755","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","argininosuccinate lyase","argH, ASL"
"PROKKA_03997___146100_1","group_22499","K14977","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","(S)-ureidoglycine aminohydrolase","ylbA, UGHY"
"PROKKA_03999___146104_1","group_22501","K03567","Cellular Processes"," Cellular community - prokaryotes","  02026 Biofilm formation - Escherichia coli [PATH:ko02026]","glycine cleavage system transcriptional repressor","gcvR"
"PROKKA_04008___360235_1","group_5471","K00997","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","holo-[acyl-carrier protein] synthase","acpS"
"PROKKA_04013___146132_1","uxaA_2","K16849","Metabolism"," Carbohydrate metabolism","  00040 Pentose and glucuronate interconversions [PATH:ko00040]","altronate dehydratase small subunit","uxaA1"
"PROKKA_04014___146134_1","gsiD_5","K02034","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","peptide/nickel transport system permease protein","ABC.PE.P1"
"PROKKA_04017___146140_1","group_22519","K00244","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04017___146140_1","group_22519","K00244","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04017___146140_1","group_22519","K00244","Metabolism"," Energy metabolism","  00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04017___146140_1","group_22519","K00244","Metabolism"," Carbohydrate metabolism","  00020 Citrate cycle (TCA cycle) [PATH:ko00020]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04017___146140_1","group_22519","K00244","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04017___146140_1","group_22519","K00244","Metabolism"," Carbohydrate metabolism","  00650 Butanoate metabolism [PATH:ko00650]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04017___146140_1","group_22519","K00244","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04021___360261_1","group_4976","K01934","Metabolism"," Metabolism of cofactors and vitamins","  00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]","5-formyltetrahydrofolate cyclo-ligase","MTHFS"
"PROKKA_04021___360261_1","group_4976","K01934","Metabolism"," Metabolism of cofactors and vitamins","  00670 One carbon pool by folate [PATH:ko00670]","5-formyltetrahydrofolate cyclo-ligase","MTHFS"
"PROKKA_04022___360263_1","group_27867","K18682","Genetic Information Processing"," Folding, sorting and degradation","  03018 RNA degradation [PATH:ko03018]","ribonucrease Y","rny"
"PROKKA_04027___360273_1","group_27877","K02417","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar motor switch protein FliN/FliY","fliNY, fliN"
"PROKKA_04027___360273_1","group_27877","K02417","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","flagellar motor switch protein FliN/FliY","fliNY, fliN"
"PROKKA_04028___146162_1","group_22529","K06094","Environmental Information Processing"," Signal transduction","  04391 Hippo signaling pathway -fly [PATH:ko04391]","lethal(2) giant larvae protein","LLGL"
"PROKKA_04028___146162_1","group_22529","K06094","Environmental Information Processing"," Signal transduction","  04371 Apelin signaling pathway [PATH:ko04371]","lethal(2) giant larvae protein","LLGL"
"PROKKA_04028___146162_1","group_22529","K06094","Environmental Information Processing"," Signal transduction","  04391 Hippo signaling pathway -fly [PATH:ko04391]","lethal(2) giant larvae protein","LLGL"
"PROKKA_04028___146162_1","group_22529","K06094","Environmental Information Processing"," Signal transduction","  04390 Hippo signaling pathway [PATH:ko04390]","lethal(2) giant larvae protein","LLGL"
"PROKKA_04028___146162_1","group_22529","K06094","Cellular Processes"," Cellular community - eukaryotes","  04530 Tight junction [PATH:ko04530]","lethal(2) giant larvae protein","LLGL"
"PROKKA_04029___360277_1","group_6001","K01695","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","tryptophan synthase alpha chain","trpA"
"PROKKA_04029___360277_1","group_6001","K01695","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","tryptophan synthase alpha chain","trpA"
"PROKKA_04029___360277_1","group_6001","K01695","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","tryptophan synthase alpha chain","trpA"
"PROKKA_04030___360279_1","group_7959","K01696","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","tryptophan synthase beta chain","trpB"
"PROKKA_04030___360279_1","group_7959","K01696","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","tryptophan synthase beta chain","trpB"
"PROKKA_04030___360279_1","group_7959","K01696","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","tryptophan synthase beta chain","trpB"
"PROKKA_04031___360281_1","group_1029","K01817","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoribosylanthranilate isomerase","trpF"
"PROKKA_04031___360281_1","group_1029","K01817","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","phosphoribosylanthranilate isomerase","trpF"
"PROKKA_04032___360283_1","group_4922","K13497","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","anthranilate synthase/phosphoribosyltransferase","trpGD"
"PROKKA_04032___360283_1","group_4922","K13497","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","anthranilate synthase/phosphoribosyltransferase","trpGD"
"PROKKA_04033___360285_1","group_7405","K06187","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","recombination protein RecR","recR"
"PROKKA_04037___360293_1","pctC_4","K03406","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","methyl-accepting chemotaxis protein","mcp"
"PROKKA_04037___360293_1","pctC_4","K03406","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","methyl-accepting chemotaxis protein","mcp"
"PROKKA_04038___360295_1","arg_2","K01476","Metabolism"," Amino acid metabolism","  00220 Arginine biosynthesis [PATH:ko00220]","arginase","E3.5.3.1, rocF, arg"
"PROKKA_04038___360295_1","arg_2","K01476","Human Diseases"," Infectious diseases","  05145 Toxoplasmosis [PATH:ko05145]","arginase","E3.5.3.1, rocF, arg"
"PROKKA_04038___360295_1","arg_2","K01476","Metabolism"," Amino acid metabolism","  00330 Arginine and proline metabolism [PATH:ko00330]","arginase","E3.5.3.1, rocF, arg"
"PROKKA_04038___360295_1","arg_2","K01476","Human Diseases"," Infectious diseases","  05146 Amoebiasis [PATH:ko05146]","arginase","E3.5.3.1, rocF, arg"
"PROKKA_04038___360295_1","arg_2","K01476","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","arginase","E3.5.3.1, rocF, arg"
"PROKKA_04039___360297_1","pyk_2","K00873","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","pyruvate kinase","PK, pyk"
"PROKKA_04039___360297_1","pyk_2","K00873","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","pyruvate kinase","PK, pyk"
"PROKKA_04039___360297_1","pyk_2","K00873","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate kinase","PK, pyk"
"PROKKA_04039___360297_1","pyk_2","K00873","Human Diseases"," Cancers","  05230 Central carbon metabolism in cancer [PATH:ko05230]","pyruvate kinase","PK, pyk"
"PROKKA_04039___360297_1","pyk_2","K00873","Organismal Systems"," Endocrine system","  04922 Glucagon signaling pathway [PATH:ko04922]","pyruvate kinase","PK, pyk"
"PROKKA_04039___360297_1","pyk_2","K00873","Human Diseases"," Cancers","  05203 Viral carcinogenesis [PATH:ko05203]","pyruvate kinase","PK, pyk"
"PROKKA_04039___360297_1","pyk_2","K00873","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","pyruvate kinase","PK, pyk"
"PROKKA_04039___360297_1","pyk_2","K00873","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","pyruvate kinase","PK, pyk"
"PROKKA_04039___360297_1","pyk_2","K00873","Human Diseases"," Endocrine and metabolic diseases","  04930 Type II diabetes mellitus [PATH:ko04930]","pyruvate kinase","PK, pyk"
"PROKKA_04041___360301_1","group_8340","K03750","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","molybdopterin molybdotransferase","moeA"
"PROKKA_04048___146203_1","group_22548","K01777","Metabolism"," Amino acid metabolism","  00340 Histidine metabolism [PATH:ko00340]","proline racemase","prdF"
"PROKKA_04048___146203_1","group_22548","K01777","Metabolism"," Amino acid metabolism","  00330 Arginine and proline metabolism [PATH:ko00330]","proline racemase","prdF"
"PROKKA_04048___360315_1","group_3091","K00566","Genetic Information Processing"," Folding, sorting and degradation","  04122 Sulfur relay system [PATH:ko04122]","tRNA-uridine 2-sulfurtransferase","mnmA, trmU"
"PROKKA_04051___360321_1","group_10379","K01759","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","lactoylglutathione lyase","GLO1, gloA"
"PROKKA_04052___360323_1","group_2122","K00868","Metabolism"," Metabolism of cofactors and vitamins","  00750 Vitamin B6 metabolism [PATH:ko00750]","pyridoxine kinase","pdxK, pdxY"
"PROKKA_04053___146213_1","group_22553","K02567","Metabolism"," Energy metabolism","  00910 Nitrogen metabolism [PATH:ko00910]","periplasmic nitrate reductase NapA","napA"
"PROKKA_04054___360327_1","group_2665","K01599","Metabolism"," Metabolism of cofactors and vitamins","  00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]","uroporphyrinogen decarboxylase","hemE, UROD"
"PROKKA_04056___146219_1","rfaE","K21344","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","D-glycero-beta-D-manno-heptose-7-phosphate kinase","rfaE1"
"PROKKA_04056___360331_1","group_12231","K00948","Metabolism"," Carbohydrate metabolism","  00030 Pentose phosphate pathway [PATH:ko00030]","ribose-phosphate pyrophosphokinase","PRPS, prsA"
"PROKKA_04056___360331_1","group_12231","K00948","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","ribose-phosphate pyrophosphokinase","PRPS, prsA"
"PROKKA_04056___360331_1","group_12231","K00948","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","ribose-phosphate pyrophosphokinase","PRPS, prsA"
"PROKKA_04056___360331_1","group_12231","K00948","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","ribose-phosphate pyrophosphokinase","PRPS, prsA"
"PROKKA_04058___360335_1","group_8176","K00566","Genetic Information Processing"," Folding, sorting and degradation","  04122 Sulfur relay system [PATH:ko04122]","tRNA-uridine 2-sulfurtransferase","mnmA, trmU"
"PROKKA_04060___146227_1","group_22560","K01714","Metabolism"," Biosynthesis of other secondary metabolites","  00261 Monobactam biosynthesis [PATH:ko00261]","4-hydroxy-tetrahydrodipicolinate synthase","dapA"
"PROKKA_04060___146227_1","group_22560","K01714","Metabolism"," Amino acid metabolism","  00300 Lysine biosynthesis [PATH:ko00300]","4-hydroxy-tetrahydrodipicolinate synthase","dapA"
"PROKKA_04060___146227_1","group_22560","K01714","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","4-hydroxy-tetrahydrodipicolinate synthase","dapA"
"PROKKA_04060___360339_1","group_13872","K02417","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar motor switch protein FliN/FliY","fliNY, fliN"
"PROKKA_04060___360339_1","group_13872","K02417","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","flagellar motor switch protein FliN/FliY","fliNY, fliN"
"PROKKA_04061___146229_1","group_22561","K00215","Metabolism"," Amino acid metabolism","  00300 Lysine biosynthesis [PATH:ko00300]","4-hydroxy-tetrahydrodipicolinate reductase","dapB"
"PROKKA_04061___146229_1","group_22561","K00215","Metabolism"," Biosynthesis of other secondary metabolites","  00261 Monobactam biosynthesis [PATH:ko00261]","4-hydroxy-tetrahydrodipicolinate reductase","dapB"
"PROKKA_04061___146229_1","group_22561","K00215","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","4-hydroxy-tetrahydrodipicolinate reductase","dapB"
"PROKKA_04061___360341_1","group_12240","K02416","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar motor switch protein FliM","fliM"
"PROKKA_04061___360341_1","group_12240","K02416","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","flagellar motor switch protein FliM","fliM"
"PROKKA_04062___360343_1","group_16029","K02405","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","RNA polymerase sigma factor for flagellar operon FliA","fliA"
"PROKKA_04062___360343_1","group_16029","K02405","Cellular Processes"," Cellular community - prokaryotes","  02026 Biofilm formation - Escherichia coli [PATH:ko02026]","RNA polymerase sigma factor for flagellar operon FliA","fliA"
"PROKKA_04062___360343_1","group_16029","K02405","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","RNA polymerase sigma factor for flagellar operon FliA","fliA"
"PROKKA_04062___360343_1","group_16029","K02405","Cellular Processes"," Cellular community - prokaryotes","  02025 Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]","RNA polymerase sigma factor for flagellar operon FliA","fliA"
"PROKKA_04062___360343_1","group_16029","K02405","Cellular Processes"," Cellular community - prokaryotes","  05111 Biofilm formation - Vibrio cholerae [PATH:ko05111]","RNA polymerase sigma factor for flagellar operon FliA","fliA"
"PROKKA_04066___360351_1","group_3595","K00950","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","folK"
"PROKKA_04069___360357_1","group_26877","K20810","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","aminodeoxyfutalosine deaminase","mqnX"
"PROKKA_04071___146249_1","group_22571","K03702","Genetic Information Processing"," Replication and repair","  03420 Nucleotide excision repair [PATH:ko03420]","excinuclease ABC subunit B","uvrB"
"PROKKA_04073___146253_1","proC_2","K00286","Metabolism"," Amino acid metabolism","  00330 Arginine and proline metabolism [PATH:ko00330]","pyrroline-5-carboxylate reductase","proC"
"PROKKA_04073___146253_1","proC_2","K00286","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","pyrroline-5-carboxylate reductase","proC"
"PROKKA_04079___360377_1","group_3265","K01955","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","carbamoyl-phosphate synthase large subunit","carB, CPA2"
"PROKKA_04079___360377_1","group_3265","K01955","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","carbamoyl-phosphate synthase large subunit","carB, CPA2"
"PROKKA_04087___146281_1","ifcA_17","K00244","Metabolism"," Energy metabolism","  00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04087___146281_1","ifcA_17","K00244","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04087___146281_1","ifcA_17","K00244","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04087___146281_1","ifcA_17","K00244","Metabolism"," Carbohydrate metabolism","  00020 Citrate cycle (TCA cycle) [PATH:ko00020]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04087___146281_1","ifcA_17","K00244","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04087___146281_1","ifcA_17","K00244","Metabolism"," Carbohydrate metabolism","  00650 Butanoate metabolism [PATH:ko00650]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04087___146281_1","ifcA_17","K00244","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","fumarate reductase flavoprotein subunit","frdA"
"PROKKA_04090___146287_1","ccmB","K02194","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","heme exporter protein B","ccmB"
"PROKKA_04091___146289_1","ccmA","K02193","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","heme exporter protein A","ccmA"
"PROKKA_04096___146299_1","group_22596","K00764","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","amidophosphoribosyltransferase","purF, PPAT"
"PROKKA_04096___146299_1","group_22596","K00764","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","amidophosphoribosyltransferase","purF, PPAT"
"PROKKA_04097___146301_1","group_22597","K03695","Organismal Systems"," Aging","  04213 Longevity regulating pathway - multiple species [PATH:ko04213]","ATP-dependent Clp protease ATP-binding subunit ClpB","clpB"
"PROKKA_04101___146309_1","glnL","K07708","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL","glnL, ntrB"
"PROKKA_04104___146315_1","group_22604","K00127","Metabolism"," Carbohydrate metabolism","  00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","formate dehydrogenase subunit gamma","fdoI"
"PROKKA_04104___146315_1","group_22604","K00127","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","formate dehydrogenase subunit gamma","fdoI"
"PROKKA_04104___146315_1","group_22604","K00127","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase subunit gamma","fdoI"
"PROKKA_04108___146323_1","ccmC","K02195","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","heme exporter protein C","ccmC"
"PROKKA_04109___146325_1","thrS","K01868","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","threonyl-tRNA synthetase","TARS, thrS"
"PROKKA_04111___146329_1","rpmI_2","K02916","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L35","RP-L35, MRPL35, rpmI"
"PROKKA_04112___146331_1","group_22612","K02887","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L20","RP-L20, MRPL20, rplT"
"PROKKA_04125___146357_1","group_22625","K02335","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","DNA polymerase I","DPO1, polA"
"PROKKA_04125___146357_1","group_22625","K02335","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","DNA polymerase I","DPO1, polA"
"PROKKA_04125___146357_1","group_22625","K02335","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","DNA polymerase I","DPO1, polA"
"PROKKA_04125___146357_1","group_22625","K02335","Genetic Information Processing"," Replication and repair","  03420 Nucleotide excision repair [PATH:ko03420]","DNA polymerase I","DPO1, polA"
"PROKKA_04125___146357_1","group_22625","K02335","Genetic Information Processing"," Replication and repair","  03410 Base excision repair [PATH:ko03410]","DNA polymerase I","DPO1, polA"
"PROKKA_04125___146357_1","group_22625","K02335","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","DNA polymerase I","DPO1, polA"
"PROKKA_04132___146371_1","group_22631","K06237","Human Diseases"," Infectious diseases","  05146 Amoebiasis [PATH:ko05146]","collagen, type IV, alpha","COL4A"
"PROKKA_04132___146371_1","group_22631","K06237","Human Diseases"," Endocrine and metabolic diseases","  04933 AGE-RAGE signaling pathway in diabetic complications [PATH:ko04933]","collagen, type IV, alpha","COL4A"
"PROKKA_04132___146371_1","group_22631","K06237","Environmental Information Processing"," Signal transduction","  04151 PI3K-Akt signaling pathway [PATH:ko04151]","collagen, type IV, alpha","COL4A"
"PROKKA_04132___146371_1","group_22631","K06237","Environmental Information Processing"," Signaling molecules and interaction","  04512 ECM-receptor interaction [PATH:ko04512]","collagen, type IV, alpha","COL4A"
"PROKKA_04132___146371_1","group_22631","K06237","Human Diseases"," Cancers","  05222 Small cell lung cancer [PATH:ko05222]","collagen, type IV, alpha","COL4A"
"PROKKA_04132___146371_1","group_22631","K06237","Human Diseases"," Cancers","  05200 Pathways in cancer [PATH:ko05200]","collagen, type IV, alpha","COL4A"
"PROKKA_04132___146371_1","group_22631","K06237","Organismal Systems"," Digestive system","  04974 Protein digestion and absorption [PATH:ko04974]","collagen, type IV, alpha","COL4A"
"PROKKA_04132___146371_1","group_22631","K06237","Cellular Processes"," Cellular community - eukaryotes","  04510 Focal adhesion [PATH:ko04510]","collagen, type IV, alpha","COL4A"
"PROKKA_04150___146407_1","group_22649","K02945","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S1","RP-S1, rpsA"
"PROKKA_04152___146411_1","sugC","K10112","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","multiple sugar transport system ATP-binding protein","msmX, msmK, malK, sugC, ggtA, msiK"
"PROKKA_04153___146413_1","ttrS_7","K13040","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","two-component system, LuxR family, sensor histidine kinase TtrS","ttrS"
"PROKKA_04155___146417_1","ltaE","K01620","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","threonine aldolase","ltaE"
"PROKKA_04155___146417_1","ltaE","K01620","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","threonine aldolase","ltaE"
"PROKKA_04157___146421_1","group_22656","K13040","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","two-component system, LuxR family, sensor histidine kinase TtrS","ttrS"
"PROKKA_04172___146451_1","group_22671","K02959","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S16","RP-S16, MRPS16, rpsP"
"PROKKA_04173___146453_1","group_22672","K09816","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","zinc transport system permease protein","znuB"
"PROKKA_04174___146455_1","group_22673","K09817","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","zinc transport system ATP-binding protein","znuC"
